X1,state,StateAbbr,county,countyname,variable,year,value,name
157260,29,MO,1,Adair County,Single Family,2010,17,Adair
157261,29,MO,1,Adair County,Single Family,2009,18,Adair
157262,29,MO,1,Adair County,Single Family,2008,26,Adair
157263,29,MO,1,Adair County,Single Family,2007,33,Adair
157264,29,MO,1,Adair County,Single Family,2006,27,Adair
157265,29,MO,1,Adair County,Single Family,2005,41,Adair
157266,29,MO,1,Adair County,Single Family,2004,28,Adair
157267,29,MO,1,Adair County,Single Family,2003,21,Adair
157268,29,MO,1,Adair County,Single Family,2002,16,Adair
157269,29,MO,1,Adair County,Single Family,2001,33,Adair
157270,29,MO,1,Adair County,Single Family,2000,30,Adair
157271,29,MO,1,Adair County,Single Family,1999,33,Adair
157272,29,MO,1,Adair County,Single Family,1998,19,Adair
157273,29,MO,1,Adair County,Single Family,1997,19,Adair
157274,29,MO,1,Adair County,Single Family,1996,21,Adair
157275,29,MO,1,Adair County,Single Family,1995,21,Adair
157276,29,MO,1,Adair County,Single Family,1994,21,Adair
157277,29,MO,1,Adair County,Single Family,1993,20,Adair
157278,29,MO,1,Adair County,Single Family,1992,13,Adair
157279,29,MO,1,Adair County,Single Family,1991,23,Adair
157280,29,MO,1,Adair County,Single Family,1990,14,Adair
157281,29,MO,1,Adair County,Single Family,1989,13,Adair
157282,29,MO,1,Adair County,Single Family,1988,17,Adair
157283,29,MO,1,Adair County,Single Family,1987,5,Adair
157284,29,MO,1,Adair County,Single Family,1986,11,Adair
157285,29,MO,1,Adair County,Single Family,1985,5,Adair
157286,29,MO,1,Adair County,Single Family,1984,25,Adair
157287,29,MO,1,Adair County,Single Family,1983,64,Adair
157288,29,MO,1,Adair County,Single Family,1982,49,Adair
157289,29,MO,1,Adair County,Single Family,1981,38,Adair
157290,29,MO,1,Adair County,Single Family,1980,27,Adair
157409,29,MO,3,Andrew County,Single Family,2010,6,Andrew
157410,29,MO,3,Andrew County,Single Family,2009,4,Andrew
157411,29,MO,3,Andrew County,Single Family,2008,10,Andrew
157412,29,MO,3,Andrew County,Single Family,2007,14,Andrew
157413,29,MO,3,Andrew County,Single Family,2006,19,Andrew
157414,29,MO,3,Andrew County,Single Family,2005,17,Andrew
157415,29,MO,3,Andrew County,Single Family,2004,19,Andrew
157416,29,MO,3,Andrew County,Single Family,2003,12,Andrew
157417,29,MO,3,Andrew County,Single Family,2002,42,Andrew
157418,29,MO,3,Andrew County,Single Family,2001,17,Andrew
157419,29,MO,3,Andrew County,Single Family,2000,17,Andrew
157420,29,MO,3,Andrew County,Single Family,1999,13,Andrew
157421,29,MO,3,Andrew County,Single Family,1998,10,Andrew
157422,29,MO,3,Andrew County,Single Family,1997,8,Andrew
157423,29,MO,3,Andrew County,Single Family,1996,9,Andrew
157424,29,MO,3,Andrew County,Single Family,1995,10,Andrew
157425,29,MO,3,Andrew County,Single Family,1994,16,Andrew
157426,29,MO,3,Andrew County,Single Family,1993,11,Andrew
157427,29,MO,3,Andrew County,Single Family,1992,9,Andrew
157428,29,MO,3,Andrew County,Single Family,1991,8,Andrew
157429,29,MO,3,Andrew County,Single Family,1990,15,Andrew
157430,29,MO,3,Andrew County,Single Family,1989,13,Andrew
157431,29,MO,3,Andrew County,Single Family,1988,10,Andrew
157432,29,MO,3,Andrew County,Single Family,1987,12,Andrew
157433,29,MO,3,Andrew County,Single Family,1986,11,Andrew
157434,29,MO,3,Andrew County,Single Family,1985,10,Andrew
157435,29,MO,3,Andrew County,Single Family,1984,30,Andrew
157436,29,MO,3,Andrew County,Single Family,1983,35,Andrew
157437,29,MO,3,Andrew County,Single Family,1982,19,Andrew
157438,29,MO,3,Andrew County,Single Family,1981,46,Andrew
157439,29,MO,3,Andrew County,Single Family,1980,23,Andrew
157524,29,MO,5,Atchison County,Single Family,2010,1,Atchison
157525,29,MO,5,Atchison County,Single Family,2009,1,Atchison
157526,29,MO,5,Atchison County,Single Family,2007,1,Atchison
157527,29,MO,5,Atchison County,Single Family,2006,1,Atchison
157528,29,MO,5,Atchison County,Single Family,2005,4,Atchison
157529,29,MO,5,Atchison County,Single Family,2004,4,Atchison
157530,29,MO,5,Atchison County,Single Family,2003,1,Atchison
157531,29,MO,5,Atchison County,Single Family,2002,3,Atchison
157532,29,MO,5,Atchison County,Single Family,2001,2,Atchison
157533,29,MO,5,Atchison County,Single Family,2000,6,Atchison
157534,29,MO,5,Atchison County,Single Family,1999,1,Atchison
157535,29,MO,5,Atchison County,Single Family,1998,8,Atchison
157536,29,MO,5,Atchison County,Single Family,1997,7,Atchison
157537,29,MO,5,Atchison County,Single Family,1996,6,Atchison
157538,29,MO,5,Atchison County,Single Family,1995,6,Atchison
157539,29,MO,5,Atchison County,Single Family,1994,6,Atchison
157540,29,MO,5,Atchison County,Single Family,1993,7,Atchison
157541,29,MO,5,Atchison County,Single Family,1992,1,Atchison
157542,29,MO,5,Atchison County,Single Family,1991,4,Atchison
157543,29,MO,5,Atchison County,Single Family,1990,3,Atchison
157544,29,MO,5,Atchison County,Single Family,1989,4,Atchison
157545,29,MO,5,Atchison County,Single Family,1988,3,Atchison
157546,29,MO,5,Atchison County,Single Family,1987,4,Atchison
157547,29,MO,5,Atchison County,Single Family,1986,4,Atchison
157548,29,MO,5,Atchison County,Single Family,1985,2,Atchison
157549,29,MO,5,Atchison County,Single Family,1984,4,Atchison
