city_ascii,lat,lng,population,ranking,state_id
Anchorage,61.1508,-149.1091,247.949,2,AK
Birmingham,33.5277,-86.7987,739.573,2,AL
Little Rock,34.7256,-92.3576,439.815,2,AR
Phoenix,33.5722,-112.0891,4219.697,1,AZ
Los Angeles,34.1139,-118.4068,12750.807,1,CA
Denver,39.7621,-104.8759,2876.625,1,CO
Bridgeport,41.1918,-73.1953,924.449,2,CT
Washington,38.9047,-77.0163,5379.184,1,DC
Dover,39.161,-75.5203,117.282,2,DE
Miami,25.7839,-80.2102,6445.545,1,FL
Atlanta,33.7627,-84.4224,5449.398,1,GA
Honolulu,21.3294,-157.846,820.987,2,HI
Des Moines,41.5725,-93.6105,473.957,2,IA
Boise,43.6007,-116.2312,389.28,2,ID
Chicago,41.8373,-87.6862,8604.203,1,IL
Indianapolis,39.7771,-86.1458,1588.961,1,IN
Wichita,37.6896,-97.3442,482.249,2,KS
Louisville,38.1663,-85.6485,1005.654,1,KY
New Orleans,30.0687,-89.9288,1020.886,1,LA
Boston,42.3188,-71.0846,4688.346,1,MA
Baltimore,39.3051,-76.6144,2106.068,1,MD
Portland,43.6773,-70.2715,203.969,2,ME
Detroit,42.3834,-83.1024,3506.126,1,MI
Minneapolis,44.9635,-93.2678,2977.172,1,MN
St. Louis,38.6358,-90.2451,2024.074,1,MO
Jackson,32.3163,-90.2124,325.35,2,MS
Billings,45.7891,-108.5524,120.728,2,MT
Charlotte,35.208,-80.8304,1512.923,1,NC
Fargo,46.8652,-96.8292,208.675,2,ND
Omaha,41.2627,-96.0522,847.819,2,NE
Nashua,42.7491,-71.491,233.917,2,NH
Trenton,40.2236,-74.7641,290.716,2,NJ
Albuquerque,35.1053,-106.6464,761.195,2,NM
Las Vegas,36.2333,-115.2654,2104.198,1,NV
New York,40.6943,-73.9249,18713.22,1,NY
Cleveland,41.4767,-81.6804,1710.093,1,OH
Oklahoma City,35.4676,-97.5136,972.943,2,OK
Portland,45.5372,-122.65,2074.775,1,OR
Philadelphia,40.0077,-75.1339,5649.3,1,PA
San Juan,18.4037,-66.0636,331.165,2,PR
Providence,41.823,-71.4187,1203.23,1,RI
Charleston,32.8153,-79.9628,628.377,2,SC
Sioux Falls,43.5397,-96.732,187.239,2,SD
Nashville,36.1715,-86.7843,1081.903,1,TN
Dallas,32.7936,-96.7662,5743.938,1,TX
Salt Lake City,40.7777,-111.9306,1098.526,1,UT
Virginia Beach,36.7335,-76.0435,1478.868,1,VA
Burlington,44.4877,-73.2314,109.763,2,VT
Seattle,47.6211,-122.3244,3789.215,1,WA
Milwaukee,43.0642,-87.9673,1365.787,1,WI
Huntington,38.4109,-82.4344,186.034,2,WV
Cheyenne,41.1351,-104.79,79.484,2,WY
