city_ascii,lat,lng,population,ranking,state_id,rnk
Anchorage,61.1508,-149.1091,247.949,2,AK,3
Fairbanks,64.8353,-147.6534,63.245,3,AK,2
Juneau,58.4546,-134.1739,25.085,2,AK,1
Birmingham,33.5277,-86.7987,739.573,2,AL,3
Huntsville,34.6988,-86.6412,319.249,2,AL,2
Mobile,30.6783,-88.1162,315.502,2,AL,1
Little Rock,34.7256,-92.3576,439.815,2,AR,3
Fayetteville,36.0713,-94.166,351.246,2,AR,2
Fort Smith,35.3493,-94.3695,125.354,2,AR,1
Phoenix,33.5722,-112.0891,4219.697,1,AZ,3
Tucson,32.1545,-110.8782,888.486,2,AZ,2
Mesa,33.4017,-111.718,518.012,2,AZ,1
Los Angeles,34.1139,-118.4068,12750.807,1,CA,3
San Francisco,37.7562,-122.443,3592.294,1,CA,2
San Diego,32.8312,-117.1225,3220.118,1,CA,1
Denver,39.7621,-104.8759,2876.625,1,CO,3
Colorado Springs,38.8674,-104.7606,642.413,2,CO,2
Aurora,39.7087,-104.7273,379.289,2,CO,1
Bridgeport,41.1918,-73.1953,924.449,2,CT,3
Hartford,41.7661,-72.6834,905.152,2,CT,2
New Haven,41.3112,-72.9246,564.83,2,CT,1
Washington,38.9047,-77.0163,5379.184,1,DC,1
Dover,39.161,-75.5203,117.282,2,DE,3
Wilmington,39.7415,-75.5413,70.166,2,DE,2
Middletown,39.4453,-75.7166,35.695,3,DE,1
Miami,25.7839,-80.2102,6445.545,1,FL,3
Tampa,27.9942,-82.4451,2908.063,1,FL,2
Orlando,28.4772,-81.3369,1822.394,1,FL,1
Atlanta,33.7627,-84.4224,5449.398,1,GA,3
Augusta,33.3645,-82.0708,390.809,2,GA,2
Savannah,32.0281,-81.1784,276.295,2,GA,1
Honolulu,21.3294,-157.846,820.987,2,HI,3
East Honolulu,21.2975,-157.7211,47.77,3,HI,2
Hilo,19.6886,-155.0864,46.284,3,HI,1
Des Moines,41.5725,-93.6105,473.957,2,IA,3
Davenport,41.5563,-90.6052,285.362,2,IA,2
Cedar Rapids,41.9665,-91.6782,188.038,2,IA,1
Boise,43.6007,-116.2312,389.28,2,ID,3
Nampa,43.5845,-116.5631,184.428,2,ID,2
Coeur d'Alene,47.7041,-116.7935,116.834,2,ID,1
Chicago,41.8373,-87.6862,8604.203,1,IL,3
Rockford,42.2597,-89.0641,282.762,2,IL,2
Round Lake Beach,42.379,-88.0811,279.381,2,IL,1
Indianapolis,39.7771,-86.1458,1588.961,1,IN,3
Fort Wayne,41.0886,-85.1437,334.122,2,IN,2
South Bend,41.6767,-86.2696,280.498,2,IN,1
Wichita,37.6896,-97.3442,482.249,2,KS,3
Overland Park,38.887,-94.687,195.494,2,KS,2
Kansas City,39.1234,-94.7443,152.96,2,KS,1
Louisville,38.1663,-85.6485,1005.654,1,KY,3
Lexington,38.0423,-84.4587,317.11,2,KY,2
Bowling Green,36.9719,-86.4373,95.135,3,KY,1
New Orleans,30.0687,-89.9288,1020.886,1,LA,3
Baton Rouge,30.4418,-91.131,570.308,2,LA,2
Shreveport,32.4656,-93.7956,280.062,2,LA,1
Boston,42.3188,-71.0846,4688.346,1,MA,3
Springfield,42.1155,-72.5395,623.401,2,MA,2
Worcester,42.2705,-71.8079,498.328,2,MA,1
Baltimore,39.3051,-76.6144,2106.068,1,MD,3
Hagerstown,39.6401,-77.7217,184.755,2,MD,2
Frederick,39.4336,-77.4141,156.787,2,MD,1
Portland,43.6773,-70.2715,203.969,2,ME,3
Bangor,44.8322,-68.7906,59.772,3,ME,2
Lewiston,44.0915,-70.1681,58.802,3,ME,1
Detroit,42.3834,-83.1024,3506.126,1,MI,3
Grand Rapids,42.962,-85.6562,609.314,2,MI,2
Flint,43.0235,-83.6922,332.19,2,MI,1
Minneapolis,44.9635,-93.2678,2977.172,1,MN,3
St. Paul,44.9477,-93.104,308.096,2,MN,2
