AL,"Alabama, USA",32.31823,-86.902298
AK,"Alaska, USA",66.160507,-153.369141
AZ,"Arizona, USA",34.048927,-111.093735
AR,"Arkansas, the US",34.799999,-92.199997
CA,"California, the USA",36.778259,-119.417931
CO,"Colorado, USA",39.113014,-105.358887
CT,"Connecticut, the US",41.599998,-72.699997
DE,"Delaware, the US",39,-75.5
FL,"Florida, USA",27.994402,-81.760254
GA,"Georgia, the USA",33.247875,-83.441162
HI,"Hawaii, USA",19.741755,-155.844437
ID,"Idaho, USA",44.068203,-114.742043
IL,"Illinois, the US",40,-89
IN,"Indiana, USA",40.273502,-86.126976
IA,"Iowa, the USA",42.032974,-93.581543
KS,"Kansas, the US",38.5,-98
KY,"Kentucky, USA",37.839333,-84.27002
LA,"Louisiana, USA",30.39183,-92.329102
ME,"Maine, the USA",45.367584,-68.972168
MD,"Maryland, USA",39.045753,-76.641273
MA,"Massachusetts, USA",42.407211,-71.382439
MI,"Michigan, USA",44.182205,-84.506836
MN,"Minnesota, USA",46.39241,-94.63623
MS,"Mississippi, the US",33,-90
MO,"Missouri, USA",38.573936,-92.60376
MT,"Montana, USA",46.96526,-109.533691
NE,"Nebraska, the US",41.5,-100
NV,"Nevada, USA",39.876019,-117.224121
NH,"New Hampshire, the US",44,-71.5
NJ,"New Jersey, USA",39.833851,-74.871826
NM,"New Mexico, USA",34.307144,-106.018066
NY,"New York, the US",43,-75
NC,"North Carolina, USA",35.782169,-80.793457
ND,"North Dakota, USA",47.650589,-100.437012
OH,"Ohio, USA",40.367474,-82.996216
OK,"Oklahoma, the USA",36.084621,-96.921387
OR,"Oregon, the US",44,-120.5
PA,"Pennsylvania, USA",41.203323,-77.194527
RI,"Rhode Island, the US",41.700001,-71.5
SC,"South Carolina, USA",33.836082,-81.163727
SD,"South Dakota, the US",44.5,-100
TN,"Tennessee, USA",35.860119,-86.660156
TX,"Texas, the USA",31,-100
UT,"Utah, USA",39.41922,-111.950684
VT,"Vermont, the USA",44,-72.699997
VA,"Virginia, USA",37.926868,-78.024902
WA,"Washington State, the USA",47.751076,-120.740135
WV,"West Virginia, the US",39,-80.5
WI,"Wisconsin, the USA",44.5,-89.5
WY,"Wyoming, USA",43.07597,-107.290283
