CPI Average Prices 2019,,
,,Nov-19
210102,Large Loaf-White-unsliced-800g,1.18
210106,six bread rolls-white / brown,0.83
210111,white sliced loaf-branded (800g),1.04
210113,wholemeal sliced loaf- branded (800g),1.07
210114,chilled garlic bread e.g. baguette-each,0.81
210201,Flour-self-raising-1.5kg,0.67
210204,dry spaghetti or pasta (500g),0.75
210211,corn snack eg wotsits; skips; single packet,0.78
210212,basmati rice 500g-1kg,1.50
210213,breakfast cereal 1 sugar/chocolate coated,2.56
210214,breakfast cereal 2 not sugar/chocolate coated,1.95
210215,cereal bar-each,0.32
210216,hot oat cereal,1.70
210217,"Rice, microwave pouch/tray 220-280g",1.06
210218,"Popcorn, Bag, 10-30g",0.46
210301,"Cream Crackers, packet, 200g-300g",0.83
210302,Plain Biscuits-200-300g (eg Digestive),0.81
210317,Fruit pies-6 pack,1.33
210319,Doughnut-each,0.35
210320,whole sponge cake; not frozen; eg Victoria sponge,1.58
210321,pack of 5-6 individual cakes,1.48
210323,"Biscuit, half chocolate coated, pack, 300-400g",1.23
210403,home killed beef-lean mince-per kg,6.60
210406,Home Killed Beef-Rump Steak/popes eye steak-per kg,14.70
210413,home killed beef-topside- per kg,10.26
210414,Frozen Beefburgers pack of 4-specify burger weight,2.11
210502,Home Killed Lamb-Shoulder with bone-per kg,7.93
210506,"Home killed Lamb, loin chop / steak, per Kg",13.52
210606,Frozen imported lamb: leg (per kg),8.55
210703,Home Killed Pork-Loin Chops with bone-per kg,6.38
210802,Bacon-Gammon-per kg,7.52
210808,Bacon-Back-per kg,7.09
210905,Fresh/Chilled Chicken-per kg - state size eg small,2.72
210910,fresh boneless chicken breast- per kg,6.76
210911,fresh turkey steaks- per kg,8.56
211023,cooked ham prepacked sliced 100-125g,2.04
211024,continental sliced deli type meat 40-100g,2.04
211025,"Joint, Oven Ready, gammon/pork, 450-700g",5.09
211026,Chicken Kiev 2 pack 250-300g [chilled not frozen],2.02
211027,"Home killed liver, per Kg, state type",2.38
211029,"Cooked meat, turkey/chicken, spec, sliced 100-180g",1.80
211030,"Meat based snack, multi pack item, max 400g",1.74
211031,"Cooked Ham, loose",1.68
211305,spreadable butter 500g 40-70% butter content,3.29
211306,butter 250g spec country of origin,1.76
211409,"Peanut Butter, Jar, 225-350 g",1.49
211511,soft continental cheese per kg,7.70
211709,shop Milk (whole milk) 4pt/2ltr container -specify,1.11
211713,"Milk, flavoured, 330 - 500mls/gms",1.13
211714,"Non-dairy milk drink, carton, 900ml - 1lt",1.38
211814,yoghurt-small individual-state weight,0.60
211815,fresh double cream 284ml-300ml,1.11
211816,powdered baby formula 900g tin follow on milk,9.87
211901,Tea bags 1: packet of 80 (250g),1.93
211904,tea bags-2; packet of 240 (approx 750g),3.64
211905,"Flavoured Tea 15-20 Bags, 30-40g",1.58
212001,"Fruit Squash eg orange, 750ml - 1.5 litres",1.56
212006,fruit juice not orange 1 litre carton eg apple,0.87
212008,Lemonade-2 litre bottle,0.52
212010,mineral water-still-1.5-2 litre bottle,0.65
212015,fizzy energy drink eg red bull; lucozade 250-500ml,1.26
212016,fresh/chilled orange juice eg tropicana (1 litre),2.01
212017,fizzy bottled drink 500ml,1.42
212019,Pure Fruit Smoothie 750mls - 1 litre,2.23
212020,fruit drink bottle 4-8 pack 200-350ml,1.83
212021,bottle still mineral water 500ml,0.54
212022,"Mixer drink, bottle, 1 Lt eg tonic",0.86
212023,"Cola flavoured/other fizzy drink, 330ml, pack 4-8",3.17
212024,Flavoured water bott 900ML - 1.5LT,0.67
212025,"Cola Drink, reg, Bottle, 1.25-2L",1.78
212026,"Cola Drink, Diet 1.25-2L",1.67
212101,Sugar -Granulated-white-per kg,0.76
212106,Jar of jam-340-454g-specify flavour,1.00
212107,"Honey, jar/bottle, 340g",2.22
212202,Mints,0.70
212211,Chocolate 4,0.75
212214,Fruit Pastilles 2,0.70
212217,Chewing Gum/Bubble Gum-single pack.,0.57
212218,carton/box of chocolates 350g - 500g,3.94
212222,Chocolate 10,0.73
212223,bag of sweets - branded chocolate,1.31
212224,bag of sweets - not chocolate,1.08
212225,"Chocolate, large bar, 100-200g",1.40
212226,Chocolate 12,0.61
212227,Chocolate 13,0.61
212309,"potatoes, New, loose or pre-packed, per Kg",1.26
212310,potatoes- old white- state loose/pre-pack (per kg),0.71
212311,potatoes- baking- state loose/pre-pack (per kg),0.90
212402,Potato Crisps-25g/40g,0.72
212404,Potato Crisps-multi-pack,1.36
212405,frozen chips 900g-1kg,1.77
212408,premium potato crisps eg kettle chips (150-200g),1.48
212409,"Prepared Mashed Potato, chilled",1.18
212504,Fresh Veg-Cauliflower-each,1.06
212510,Fresh Veg-Cucumber-whole,0.63
212511,Fresh Veg-Lettuce-Iceberg-each,0.73
212515,fresh veg-tomatoes per kg,2.06
212516,fresh veg-cabbage state each or per kg,0.81
212518,fresh veg-carrots per kg,0.61
212519,fresh veg-onions per kg,0.82
212520,fresh veg-mushrooms per kg,2.88
212527,pre-packed salad 100-250g (specify type),1.47
212530,fresh veg-broccoli-per kg,1.93
212531,fresh veg-courgette-per kg,2.24
212532,fresh veg-peppers - state loose or per kg,0.60
212533,vegetable stir fry fresh pack 300-500g,1.14
212535,Sweet Potato,1.26
212601,CANNED TOMATOES 390-400G,0.50
212603,"Baked Beans, 400-420g tin",0.63
212608,canned sweetcorn (198-340g),0.75
212609,frozen garden peas 800g-1kg,1.43
212709,Oranges-class 1-each,0.37
212710,Avocado pear-each,1.06
212712,Kiwi Fruit-each,0.27
212715,Grapefruit-each,0.55
212716,apples-cooking per kg,1.83
212717,apples-dessert per kg,1.81
212718,pears-dessert per kg,1.82
212719,bananas per kg,0.99
212720,strawberries (state per kg or per punnet),8.69
212722,grapes per kg,3.93
212725,small type oranges per pack/kg,2.21
212726,Plums - state per pack/Kg (see Help screen),2.29
212728,pineapple each,1.12
212730,"Fruit, fresh, snacking, 150-350g",1.63
212731,"Melon, each, eg Honeydew",1.77
212732,"Lemon, each",0.32
212733,"Blueberries, punnet",12.16
212734,"Raspberries, punnet",11.43
212806,packet of peanuts 100-200g (roasted/salted),1.21
212807,Canned Fruit-400-450g-specify type,0.96
212808,dried fruit 100 - 250g pack eg appricots,1.96
212905,vegetable pickle 280 - 560g eg branston,1.40
212910,Canned Soup-390-425g,0.76
212917,"Tomato Ketchup, bottle, 340 - 500g / 290 - 460mls",1.54
212918,Frozen ready-cooked meal-to serve one,1.74
212923,Cook-in sauce-jar/can 350-520g (eg bolognese),1.39
212928,"frozen vegetarian burger/grills, pack, 200 - 454g",1.73
212930,mayonnaise 400g-500g,1.63
212933,ice cream specify flavour (500ml-1 litre),2.51
212934,dried potted snack eg noodles/pasta (50-120g),1.15
212936,chilled ready meal-meat based-serves 1-specify wgt,2.56
212937,chilled ready meal-fish/veg based-serves1-spec wgt,2.55
212938,Chocolate covered ice cream bar 80-130ml eg Magnum,0.67
212939,"Chilled Pizza,each, 300-600g",3.39
212941,Quiche,2.21
213001,Coffee: ground: filter fine (227-250g),3.11
213003,Coffee-Instant-100g jar,2.89
213005,hot chocolate drink instant 250-400g,2.38
213006,"Coffee pods, pack 8-16",3.54
220327,Takeaway Cooked Pastry Based Savoury Snack,1.19
