CPI Average Prices 2020,,,
,,,
,,Feb-20,
x,Large Loaf-White-unsliced-800g,1.16,
,six bread rolls-white / brown,0.83,
,white sliced loaf-branded (800g),1.07,
,wholemeal sliced loaf- branded (800g),1.06,
,chilled garlic bread e.g. baguette-each,0.77,
,Flour-self-raising-1.5kg,0.68,
,dry spaghetti or pasta (500g),0.66,
,corn snack eg wotsits; skips; single packet,0.81,
,basmati rice 500g-1kg,1.43,
,breakfast cereal 1 sugar/chocolate coated,2.55,
,breakfast cereal 2 not sugar/chocolate coated,2.09,
,cereal bar-each,0.34,
,hot oat cereal,1.66,
,"Rice, microwave pouch/tray 220-280g",0.83,
,"Popcorn, Bag, 10-30g",0.3,
,"Breakfast Cereal, Gluten Free",2.46,
,"Cream Crackers, packet, 200g-300g",0.87,
,Plain Biscuits-200-300g (eg Digestive),0.93,
,Doughnut-each,0.35,
,whole sponge cake; not frozen; eg Victoria sponge,1.77,
,pack of 5-6 individual cakes,1.34,
,"Biscuit, half chocolate coated, pack, 300-400g",0.91,
,"Crumpets, pack",0.74,
,home killed beef-lean mince-per kg,6.61,
,Home Killed Beef-Rump Steak/popes eye steak-per kg,14.5,
,Frozen Beefburgers pack of 4-specify burger weight,2.11,
,"Beef, roasting joint, per Kg",9.77,
,Home Killed Lamb-Shoulder with bone-per kg,8.66,
,"Home killed Lamb, loin chop / steak, per Kg",13.43,
,Home Killed Pork-Loin Chops with bone-per kg,5.9,
,Bacon-Gammon-per kg,7.3,
,Bacon-Back-per kg,7.06,
,Fresh/Chilled Chicken-per kg - state size eg small,2.43,
,fresh boneless chicken breast- per kg,6.52,
,"Fresh Turkey, diced/minced, per Kg",6.72,
,cooked ham prepacked sliced 100-125g,2.18,
,continental sliced deli type meat 40-100g,1.99,
,"Joint, Oven Ready, gammon/pork, 450-700g",4.87,
,Chicken Kiev 2 pack 250-300g [chilled not frozen],1.92,
,"Home killed liver, per Kg, state type",2.49,
,"Cooked meat, turkey/chicken, spec, sliced 100-180g",1.91,
,"Meat based snack, multi pack item, max 400g",1.84,
,"Cooked Ham, loose",1.79,
,spreadable butter 500g 40-70% butter content,3.14,
,butter 250g spec country of origin,1.79,
,"Peanut Butter, Jar, 225-350 g",1.54,
,soft continental cheese per kg,7.8,
,shop Milk (whole milk) 4pt/2ltr container -specify,1.11,
,"Milk, flavoured, 330 - 500mls/gms",1.18,
,"Non-dairy milk drink, carton, 900ml - 1lt",1.34,
,yoghurt-small individual-state weight,0.64,
,fresh double cream 284ml-300ml,1.09,
,powdered baby formula 900g tin follow on milk,9.93,
,Tea bags 1: packet of 80 (250g),1.87,
,tea bags-2; packet of 240 (approx 750g),3.71,
,"Flavoured Tea 15-20 Bags, 30-40g",1.73,
,"Fruit Squash eg orange, 750ml - 1.5 litres",1.55,
,fruit juice not orange 1 litre carton eg apple,0.88,
,Lemonade-2 litre bottle,0.58,
,mineral water-still-1.5-2 litre bottle,0.66,
,fizzy energy drink eg red bull; lucozade 250-500ml,1.28,
,fresh/chilled orange juice eg tropicana (1 litre),2.03,
,fizzy bottled drink 500ml,1.48,
,Pure Fruit Smoothie 750mls - 1 litre,2.65,
,fruit drink bottle 4-8 pack 200-350ml,1.54,
,bottle still mineral water 500ml,0.5,
,"Mixer drink, bottle, 1 Lt eg tonic",1.01,
